ddate,timestamp,calculated_vix,market_vix,dte1,dte2,f1,f2,k0_1,k0_2,sigma1,sigma2,r1,r2,call_volume,put_volume,put_call_volume_ratio,call_oi,put_oi,put_call_oi_ratio,avg_call_iv,avg_put_iv,put_call_iv_ratio,otm_put_iv_skew,vix_diff,calc_time
2018-08-14,2024-12-22 14:22:37.093173,13.34731333431344,13.3100004196167,24,31,2840.250343124039,2840.1502620710166,2840.0,2840.0,0.016025275696883834,0.01698903483968274,0.019504582885356676,0.019504582885356676,13521,46192,3.4163153612898456,247894,483116,1.948881376717468,0.18842786259541985,0.20390737913486004,1.0821508896095522,1.4979518937765526,0.03731291469674147,1.355830430984497
2018-08-15,2024-12-22 14:22:38.472410,14.641003014738265,14.640000343322754,30,37,2820.901524249869,2821.9039299126143,2820.0,2820.0,0.020307691826296576,0.021112726143111004,0.019504582885356676,0.019504582885356676,203385,296000,1.4553678983209184,1582946,2507156,1.5838544081731152,0.24369750000000004,0.242932265625,0.9968599005939739,1.4536138844183815,0.001002671415511358,1.379044532775879
2018-08-16,2024-12-22 14:22:40.060752,13.483445824678459,13.449999809265137,29,36,2844.0985239237875,2845.050100016356,2845.0,2845.0,0.017061827790176988,0.01814355139534937,0.019504582885356676,0.019504582885356676,109069,186735,1.712081343003053,1480526,2279370,1.5395676941843641,0.20393656583629893,0.23391690391459075,1.147008154007836,1.4201921514323472,0.03344601541332182,1.588146686553955
2018-08-17,2024-12-22 14:22:41.414660,12.661392983947255,12.640000343322754,28,35,2851.2519731241805,2852.2543580032466,2850.0,2850.0,0.014824420077026236,0.016039922244955235,0.019405550922770264,0.019405550922770264,210956,311377,1.4760281764917802,1511417,2341742,1.5493685726705468,0.21204227353463587,0.2271954706927176,1.0714630950964905,1.4255896850111007,0.021392640624501524,1.3537075519561768
2018-08-20,2024-12-22 14:22:42.802298,12.51360258498253,12.489999771118164,25,32,2857.746840390897,2858.647606155127,2860.0,2860.0,0.013896725975330747,0.015132098162781415,0.019207472285389424,0.019207472285389424,80196,135237,1.686330989076762,1553119,2331685,1.5012919164597176,0.19301973094170402,0.22920547085201792,1.1874717145950366,1.3915055432325678,0.023602813864366468,1.3874495029449463
2018-08-21,2024-12-22 14:22:44.407111,12.936132873766889,12.859999656677246,24,31,2860.2002717098017,2861.2020752591075,2860.0,2860.0,0.014785076780994433,0.015993523320938494,0.01930651405627663,0.01930651405627663,201866,210922,1.0448614427392429,1586634,2398787,1.5118716729882253,0.2002918772563177,0.2276003610108303,1.1363434410251465,1.406988942374008,0.07613321708964271,1.6045362949371338
2018-08-22,2024-12-22 14:22:45.777649,12.30985769001943,12.25,30,37,2860.901503523244,2861.503086793538,2860.0,2860.0,0.01447955797889077,0.016303817713386265,0.019405550922770264,0.019405550922770264,150441,313983,2.08708397311903,1788668,2886325,1.6136728560023437,0.20959160246533126,0.22149391371340524,1.0567881112986994,1.3968036532765398,0.0598576900194292,1.370344877243042
2018-08-23,2024-12-22 14:22:47.169678,12.438100338169166,12.40999984741211,29,36,2857.896590826134,2858.296609608747,2860.0,2860.0,0.01434739202126921,0.016165832085560376,0.01930651405627663,0.01930651405627663,100476,156129,1.55389346709662,1687680,2793907,1.655472008911642,0.2271342781222321,0.23023339238263954,1.013644414599278,1.4020634348484713,0.028100490757056562,1.3918371200561523
2018-08-24,2024-12-22 14:22:48.558036,12.040139752776543,11.989999771118164,28,35,2876.802815339722,2877.254390464198,2875.0,2875.0,0.013208806647631495,0.015038793775420722,0.019405550922770264,0.019405550922770264,74485,180638,2.4251594280727664,1711251,2838594,1.6587829605358886,0.18723105536332185,0.23349489619377162,1.2470949103004028,1.3662772639088594,0.050139981658379185,1.3881683349609375
2018-08-27,2024-12-22 14:22:49.924560,12.1366595494384,12.15999984741211,25,32,2898.5479533032076,2898.8980192606714,2900.0,2900.0,0.012416407528409366,0.014481895591848608,0.019504582885356676,0.019504582885356676,218564,237992,1.0888892955839022,1737239,2862850,1.6479309985557542,0.19203704028021015,0.23456120840630473,1.221437323049999,1.3531655315217899,0.023340297973708957,1.3663358688354492
